Symbol	Synonyms	dbXrefs	chromosome	map_location	description	type_of_gene	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Other_designations	Modification_date
ACTR1A	ARP1|Arp1A|CTRN1	MIM:605143|HGNC:HGNC:167|Ensembl:ENSG00000138107	10	10q24.32	actin related protein 1A	protein-coding	ACTR1A	actin related protein 1A	"alpha-centractin|ARP1 actin related protein 1 homolog A|ARP1 actin-related protein 1 homolog A, centractin alpha|actin-RPV|centractin|centrosome-associated actin homolog|epididymis secretory sperm binding protein"	20210302
ARL4C	ARL7|LAK	MIM:604787|HGNC:HGNC:698|Ensembl:ENSG00000188042	2	2q37.1	ADP ribosylation factor like GTPase 4C	protein-coding	ARL4C	ADP ribosylation factor like GTPase 4C	ADP-ribosylation factor-like protein 4C|ADP ribosylation factor-like protein 7|ADP-ribosylation factor-like 4C|ADP-ribosylation factor-like 7|ADP-ribosylation factor-like protein LAK	20210302
ARL4A	ARL4	MIM:604786|HGNC:HGNC:695|Ensembl:ENSG00000122644	7	7p21.3	ADP ribosylation factor like GTPase 4A	protein-coding	ARL4A	ADP ribosylation factor like GTPase 4A	ADP-ribosylation factor-like protein 4A|ADP-ribosylation factor-like 4|ADP-ribosylation factor-like 4A	20210306
RASGRP1	CALDAG-GEFI|CALDAG-GEFII|IMD64|RASGRP	MIM:603962|HGNC:HGNC:9878|Ensembl:ENSG00000172575	15	15q14	RAS guanyl releasing protein 1	protein-coding	RASGRP1	RAS guanyl releasing protein 1	"RAS guanyl-releasing protein 1|RAS guanyl nucleotide-releasing protein 1|RAS guanyl releasing protein 1 (calcium and DAG-regulated)|calcium and DAG-regulated guanine nucleotide exchange factor II|calcium- and diacylglycerol-regulated guanine nucleotide exchange factor II|guanine nucleotide exchange factor, calcium- and DAG-regulated, Rap1A|ras activator RasGRP"	20210302
DNAL4	MRMV3|PIG27	MIM:610565|HGNC:HGNC:2955|Ensembl:ENSG00000100246	22	22q13.1	dynein axonemal light chain 4	protein-coding	DNAL4	dynein axonemal light chain 4	"dynein light chain 4, axonemal|dynein light chain, outer arm 4|dynein, axonemal, light polypeptide 4|proliferation-inducing gene 27|proliferation-inducing protein 27"	20210302
ZNF263	FPM315|ZKSCAN12|ZSCAN44	MIM:604191|HGNC:HGNC:13056|Ensembl:ENSG00000006194	16	16p13.3	zinc finger protein 263	protein-coding	ZNF263	zinc finger protein 263	zinc finger protein 263|zinc finger protein FPM315|zinc finger protein with KRAB and SCAN domains 12	20210302
LRPPRC	CLONE-23970|GP130|LRP130|LSFC|MC4DN5	MIM:607544|HGNC:HGNC:15714|Ensembl:ENSG00000138095	2	2p21	leucine rich pentatricopeptide repeat containing	protein-coding	LRPPRC	leucine rich pentatricopeptide repeat containing	"leucine-rich PPR motif-containing protein, mitochondrial|130 kDa leucine-rich protein|LRP 130|leucine-rich PPR-motif containing|mitochondrial leucine-rich PPR motif-containing protein"	20210307
FRY	13CDNA73|214K23.2|C13orf14|CG003|bA207N4.2|bA37E23.1	MIM:614818|HGNC:HGNC:20367|Ensembl:ENSG00000073910	13	13q13.1	FRY microtubule binding protein	protein-coding	FRY	FRY microtubule binding protein	protein furry homolog|WUGSC:H_2G3A.1|furry homolog	20210302
PDIA6	ERP5|P5|TXNDC7	MIM:611099|HGNC:HGNC:30168|Ensembl:ENSG00000143870	2	2p25.1	protein disulfide isomerase family A member 6	protein-coding	PDIA6	protein disulfide isomerase family A member 6	protein disulfide-isomerase A6|ER protein 5|endoplasmic reticulum protein 5|epididymis secretory sperm binding protein|protein disulfide isomerase P5|protein disulfide isomerase-associated 6|protein disulfide isomerase-related protein|thioredoxin domain containing 7 (protein disulfide isomerase)|thioredoxin domain-containing protein 7	20210307
TRAP1	HSP 75|HSP75|HSP90L|TRAP-1	MIM:606219|HGNC:HGNC:16264|Ensembl:ENSG00000126602	16	16p13.3	TNF receptor associated protein 1	protein-coding	TRAP1	TNF receptor associated protein 1	"heat shock protein 75 kDa, mitochondrial|TNFR-associated protein 1|testicular tissue protein Li 209|tumor necrosis factor type 1 receptor-associated protein"	20210302
OPTN	ALS12|FIP2|GLC1E|HIP7|HYPL|NRP|TFIIIA-INTP	MIM:602432|HGNC:HGNC:17142|Ensembl:ENSG00000123240	10	10p13	optineurin	protein-coding	OPTN	optineurin	optineurin|E3-14.7K-interacting protein|FIP-2|HIP-7|Huntingtin interacting protein L|huntingtin yeast partner L|huntingtin-interacting protein 7|huntingtin-interacting protein L|nemo-related protein|optic neuropathy-inducing protein|transcription factor IIIA-interacting protein|transcrption factor IIIA-interacting protein|tumor necrosis factor alpha-inducible cellular protein containing leucine zipper domains	20210302
BCAP31	6C6-AG|BAP31|CDM|DDCH|DXS1357E	MIM:300398|HGNC:HGNC:16695|Ensembl:ENSG00000185825	X	Xq28	B cell receptor associated protein 31	protein-coding	BCAP31	B cell receptor associated protein 31	B-cell receptor-associated protein 31|6C6-AG tumor-associated antigen|BCR-associated protein Bap31|p28 Bap31	20210307
NAMPT	1110035O14Rik|PBEF|PBEF1|VF|VISFATIN	MIM:608764|HGNC:HGNC:30092|Ensembl:ENSG00000105835	7	7q22.3	nicotinamide phosphoribosyltransferase	protein-coding	NAMPT	nicotinamide phosphoribosyltransferase	nicotinamide phosphoribosyltransferase|NAmPRTase|pre-B cell-enhancing factor|pre-B-cell colony-enhancing factor 1	20210305
CELA3A	ELA3|ELA3A	MIM:618693|HGNC:HGNC:15944|Ensembl:ENSG00000142789	1	1p36.12	chymotrypsin like elastase 3A	protein-coding	CELA3A	chymotrypsin like elastase 3A	"chymotrypsin-like elastase family member 3A|chymotrypsin like elastase family member 3A|elastase 1|elastase 3A, pancreatic|elastase IIIA|elastase-3A|protease E"	20210302
RBM12	HRIHFB2091|SCZD19|SWAN	MIM:607179|HGNC:HGNC:9898|Ensembl:ENSG00000244462	20	20q11.22	RNA binding motif protein 12	protein-coding	RBM12	RNA binding motif protein 12	RNA-binding protein 12|SH3/WW domain anchor protein in the nucleus	20210302
YAF2	-	MIM:607534|HGNC:HGNC:17363|Ensembl:ENSG00000015153	12	12q12	YY1 associated factor 2	protein-coding	YAF2	YY1 associated factor 2	YY1-associated factor 2	20210302
ARFRP1	ARL18|ARP|Arp1	MIM:604699|HGNC:HGNC:662|Ensembl:ENSG00000101246	20	20q13.33	ADP ribosylation factor related protein 1	protein-coding	ARFRP1	ADP ribosylation factor related protein 1	ADP-ribosylation factor-related protein 1|ARF-related protein 1|SCG10 like-protein|epididymis secretory sperm binding protein|helicase-like protein NHL	20210306
TOB1	APRO5|APRO6|PIG49|TOB|TROB|TROB1	MIM:605523|HGNC:HGNC:11979|Ensembl:ENSG00000141232	17	17q21.33	"transducer of ERBB2, 1"	protein-coding	TOB1	"transducer of ERBB2, 1"	protein Tob1|proliferation-inducing gene 49|transducer of erbB-2 1	20210302
LINC01587	C4orf6|aC1	HGNC:HGNC:13716|Ensembl:ENSG00000082929	4	4p16.2	long intergenic non-protein coding RNA 1587	ncRNA	LINC01587	long intergenic non-protein coding RNA 1587	expressed in neuroblastoma	20210302
AKAP9	AKAP-9|AKAP350|AKAP450|CG-NAP|HYPERION|LQT11|MU-RMS-40.16A|PPP1R45|PRKA9|YOTIAO	MIM:604001|HGNC:HGNC:379|Ensembl:ENSG00000127914	7	7q21.2	A-kinase anchoring protein 9	protein-coding	AKAP9	A-kinase anchoring protein 9	"A-kinase anchor protein 9|A kinase (PRKA) anchor protein (yotiao) 9|A kinase (PRKA) anchor protein 9|A-kinase anchor protein 350 kDa|A-kinase anchor protein 450 kDa|AKAP 120-like protein|AKAP9-BRAF fusion protein|centrosome- and Golgi-localized PKN-associated protein|centrosome- and golgi-localized protein kinase N-associated protein|kinase N-associated protein|protein hyperion|protein kinase A anchoring protein 9|protein phosphatase 1, regulatory subunit 45|protein yotiao"	20210302
CLEC3A	CLECSF1	MIM:613588|HGNC:HGNC:2052|Ensembl:ENSG00000166509	16	16q23.1	C-type lectin domain family 3 member A	protein-coding	CLEC3A	C-type lectin domain family 3 member A	"C-type lectin domain family 3 member A|C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 1 (cartilage-derived)"	20210302
FAM13A	ARHGAP48|FAM13A1	MIM:613299|HGNC:HGNC:19367|Ensembl:ENSG00000138640	4	4q22.1	family with sequence similarity 13 member A	protein-coding	FAM13A	family with sequence similarity 13 member A	"protein FAM13A|FAM13A1_v2 protein|family with sequence similarity 13, member A1"	20210302
G3BP1	G3BP|HDH-VIII	MIM:608431|HGNC:HGNC:30292|Ensembl:ENSG00000145907	5	5q33.1	G3BP stress granule assembly factor 1	protein-coding	G3BP1	G3BP stress granule assembly factor 1	ras GTPase-activating protein-binding protein 1|ATP-dependent DNA helicase VIII|DNA helicase VIII|G3BP-1|GAP SH3 domain-binding protein 1|GAP binding protein|GTPase activating protein (SH3 domain) binding protein 1|Ras-GTPase-activating protein SH3-domain-binding protein|RasGAP-associated endoribonuclease G3BP	20210307
SUGP2	SFRS14|SRFS14	MIM:607993|HGNC:HGNC:18641|Ensembl:ENSG00000064607	19	19p13.11	SURP and G-patch domain containing 2	protein-coding	SUGP2	SURP and G-patch domain containing 2	"SURP and G-patch domain-containing protein 2|arginine/serine-rich-splicing factor 14|splicing factor, arginine/serine-rich 14"	20210302
EBI3	IL-27B|IL27B|IL35B	MIM:605816|HGNC:HGNC:3129|Ensembl:ENSG00000105246	19	19p13.3	Epstein-Barr virus induced 3	protein-coding	EBI3	Epstein-Barr virus induced 3	interleukin-27 subunit beta|EBV-induced gene 3 protein|Epstein-Barr virus induced gene 3|IL-27 subunit beta|IL27 subunit|IL35 subunit|cytokine receptor|epstein-Barr virus-induced gene 3 protein	20210302
ADGRG2	CBAVDX|EDDM6|GPR64|HE6|TM7LN2	MIM:300572|HGNC:HGNC:4516|Ensembl:ENSG00000173698	X	Xp22.13	adhesion G protein-coupled receptor G2	protein-coding	ADGRG2	adhesion G protein-coupled receptor G2	"adhesion G-protein coupled receptor G2|G protein-coupled receptor 64|G protein-coupled receptor, epididymis-specific (seven transmembrane family)|epididymal protein 6|human epididymis-specific protein 6"	20210302
MBNL2	MBLL|MBLL39|PRO2032	MIM:607327|HGNC:HGNC:16746|Ensembl:ENSG00000139793	13	13q32.1	muscleblind like splicing regulator 2	protein-coding	MBNL2	muscleblind like splicing regulator 2	muscleblind-like protein 2|muscleblind-like 2|muscleblind-like protein 1|muscleblind-like protein-like 39	20210302
HNRNPA3P1	D10S102|FBRNP|HNRPA3|HNRPA3P1	HGNC:HGNC:13729	10	10q11.21	heterogeneous nuclear ribonucleoprotein A3 pseudogene 1	pseudo	HNRNPA3P1	heterogeneous nuclear ribonucleoprotein A3 pseudogene 1	-	20210302
ABI2	ABI-2|ABI2B|AIP-1|AIP1|AblBP3|SSH3BP2|argBP1|argBPIA|argBPIB	MIM:606442|HGNC:HGNC:24011|Ensembl:ENSG00000138443	2	2q33.2	abl interactor 2	protein-coding	ABI2	abl interactor 2	abl interactor 2|abelson interactor 2|abl binding protein 3|abl-interacting protein 1 (SH3-containing protein)|abl-interactor protein 2b|arg protein tyrosine kinase-binding protein|arg-binding protein 1	20210306
CEBPZ	CBF|CBF2|HSP-CBF|NOC1	MIM:612828|HGNC:HGNC:24218|Ensembl:ENSG00000115816	2	2p22.2	CCAAT enhancer binding protein zeta	protein-coding	CEBPZ	CCAAT enhancer binding protein zeta	"CCAAT/enhancer-binding protein zeta|CCAAT-box-binding transcription factor|CCAAT/enhancer binding protein (C/EBP), zeta|CCAAT/enhancer binding protein cebp family zeta"	20210302
PLXNC1	CD232|PLXN-C1|VESPR	MIM:604259|HGNC:HGNC:9106|Ensembl:ENSG00000136040	12	12q22	plexin C1	protein-coding	PLXNC1	plexin C1	plexin-C1|plexin (semaphorin receptor)|receptor for viral semaphorin protein|receptor for virally-encoded semaphorin|virus-encoded semaphorin protein receptor	20210302
TRIM28	KAP1|PPP1R157|RNF96|TF1B|TIF1B	MIM:601742|HGNC:HGNC:16384|Ensembl:ENSG00000130726	19	19q13.43	tripartite motif containing 28	protein-coding	TRIM28	tripartite motif containing 28	"transcription intermediary factor 1-beta|E3 SUMO-protein ligase TRIM28|KAP-1|KRAB [Kruppel-associated box domain]-associated protein 1|KRAB-interacting protein 1|KRIP-1|RING finger protein 96|RING-type E3 ubiquitin transferase TIF1-beta|TIF1-beta|nuclear corepressor KAP-1|protein phosphatase 1, regulatory subunit 157|transcriptional intermediary factor 1-beta"	20210307
RASA4	CAPRI|GAPL	MIM:607943|HGNC:HGNC:23181|Ensembl:ENSG00000105808	7	7q22.1	RAS p21 protein activator 4	protein-coding	RASA4	RAS p21 protein activator 4	ras GTPase-activating protein 4|Ca2+-promoted Ras inactivator|calcium-promoted Ras inactivator|rasGAP-activating-like protein 2	20210302
AASS	LKR/SDH|LKRSDH|LORSDH	MIM:605113|HGNC:HGNC:17366|Ensembl:ENSG00000008311	7	7q31.32	aminoadipate-semialdehyde synthase	protein-coding	AASS	aminoadipate-semialdehyde synthase	"alpha-aminoadipic semialdehyde synthase, mitochondrial|alpha-aminoadipate semialdehyde synthase|aminoadipic semialdehyde synthase|lysine-2-oxoglutarate reductase|lysine-ketoglutarate reductase /saccharopine dehydrogenase"	20210302
PDZK1IP1	DD96|MAP17|SPAP	MIM:607178|HGNC:HGNC:16887|Ensembl:ENSG00000162366	1	1p33	PDZK1 interacting protein 1	protein-coding	PDZK1IP1	PDZK1 interacting protein 1	"PDZK1-interacting protein 1|17 kDa membrane-associated protein|epithelial protein up-regulated in carcinoma, membrane associated protein 17|membrane-associated protein 17"	20210302
ATP6AP2	APT6M8-9|ATP6IP2|ATP6M8-9|CDG2R|ELDF10|HT028|M8-9|MRXE|MRXSH|MSTP009|PRR|RENR|XMRE|XPDS	MIM:300556|HGNC:HGNC:18305|Ensembl:ENSG00000182220	X	Xp11.4	ATPase H+ transporting accessory protein 2	protein-coding	ATP6AP2	ATPase H+ transporting accessory protein 2	"renin receptor|ATPase H(+)-transporting lysosomal-interacting protein 2|ATPase, H+ transporting, lysosomal (vacuolar proton pump) membrane sector associated protein M8-9|ATPase, H+ transporting, lysosomal accessory protein 2|ATPase, H+ transporting, lysosomal interacting protein 2|ER-localized type I transmembrane adapter|ER-localized type I transmembrane adaptor|N14F|V-ATPase M8.9 subunit|embryonic liver differentiation factor 10|prorenin receptor|renin/prorenin receptor|vacuolar ATP synthase membrane sector-associated protein M8-9|vacuolar proton ATP synthase membrane sector associated protein M8-9"	20210302
FARP1	CDEP|FARP1-IT1|PLEKHC2|PPP1R75	MIM:602654|HGNC:HGNC:3591|Ensembl:ENSG00000152767	13	13q32.2	"FERM, ARH/RhoGEF and pleckstrin domain protein 1"	protein-coding	FARP1	"FERM, ARH/RhoGEF and pleckstrin domain protein 1"	"FERM, ARHGEF and pleckstrin domain-containing protein 1|FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)|FERM, RhoGEF and pleckstrin domain-containing protein 1|PH domain-containing family C member 2|chondrocyte-derived ezrin-like protein|pleckstrin homology domain-containing family C member 2|protein phosphatase 1, regulatory subunit 75"	20210302
LPAR6	ARWH1|HYPT8|LAH3|LPA-6|P2RY5|P2Y5	MIM:609239|HGNC:HGNC:15520|Ensembl:ENSG00000139679	13	13q14.2	lysophosphatidic acid receptor 6	protein-coding	LPAR6	lysophosphatidic acid receptor 6	"lysophosphatidic acid receptor 6|G-protein coupled purinergic receptor P2Y5|LPA receptor 6|P2Y purinoceptor 5|RB intron encoded G-protein coupled receptor|oleoyl-L-alpha-lysophosphatidic acid receptor|purinergic receptor 5|purinergic receptor P2Y G protein-coupled protein 5|purinergic receptor P2Y, G-protein coupled, 5"	20210302
LPCAT3	C3F|LPCAT|LPLAT 5|LPSAT|MBOAT5|OACT5|nessy	MIM:611950|HGNC:HGNC:30244|Ensembl:ENSG00000111684	12	12p13.31	lysophosphatidylcholine acyltransferase 3	protein-coding	LPCAT3	lysophosphatidylcholine acyltransferase 3	lysophospholipid acyltransferase 5|1-acylglycerophosphocholine O-acyltransferase|1-acylglycerophosphoethanolamine O-acyltransferase|1-acylglycerophosphoserine O-acyltransferase|O-acyltransferase (membrane bound) domain containing 5|O-acyltransferase domain-containing protein 5|lyso-PC acyltransferase 3|lyso-PS acyltransferase|lysophosphatidylserine acyltransferase|membrane bound O-acyltransferase domain containing 5|membrane-bound O-acyltransferase domain-containing protein 5|putative protein similar to nessy	20210302
WASF2	IMD2|SCAR2|WASF4|WAVE2|dJ393P12.2	MIM:605875|HGNC:HGNC:12733|Ensembl:ENSG00000158195	1	1p36.11	WASP family member 2	protein-coding	WASF2	WASP family member 2	wiskott-Aldrich syndrome protein family member 2|WAS protein family member 2|WASP family Verprolin-homologous protein 2|WASP family protein member 2|WASP family protein member 4|protein WAVE-2|putative Wiskott-Aldrich syndrome protein family member 4|suppressor of cyclic-AMP receptor (WASP-family)|verprolin homology domain-containing protein 2	20210302
CHST4	GST3|GlcNAc6ST2|HECGLCNAC6ST|LSST	HGNC:HGNC:1972|Ensembl:ENSG00000140835	16	16q22.2	carbohydrate sulfotransferase 4	protein-coding	CHST4	carbohydrate sulfotransferase 4	carbohydrate sulfotransferase 4|GST-3|HEC-GlcNAc6ST|L-selectin ligand sulfotransferase|N-acetylglucosamine 6-O-sulfotransferase 2|carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4|galactose/N-acetylglucosamine/N-acetylgalactosamine 6-O-sulfotransferase 3|galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 3|glcNAc6ST-2|gn6st-2|high endothelial cells N-acetylglucosamine 6-O-sulfotransferase	20210302
SLC25A13	ARALAR2|CITRIN|CTLN2|NICCD	MIM:603859|HGNC:HGNC:10983|Ensembl:ENSG00000004864	7	7q21.3	solute carrier family 25 member 13	protein-coding	SLC25A13	solute carrier family 25 member 13	"calcium-binding mitochondrial carrier protein Aralar2|mitochondrial aspartate glutamate carrier 2|solute carrier family 25 (aspartate/glutamate carrier), member 13"	20210302
SLC25A15	D13S327|HHH|LNC-HC|ORC1|ORNT1	MIM:603861|HGNC:HGNC:10985|Ensembl:ENSG00000102743	13	13q14.11	solute carrier family 25 member 15	protein-coding	SLC25A15	solute carrier family 25 member 15	mitochondrial ornithine transporter 1|ornithine carrier 1|ornithine transporter 1|solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15	20210302
CFM1	-	MIM:603855	19	19q13.2-q13.4	cystic fibrosis modifier 1	unknown	-	-	-	20191002
ZNF197	D3S1363E|P18|VHLaK|ZKSCAN9|ZNF166|ZNF20|ZSCAN41	MIM:618359|HGNC:HGNC:12988|Ensembl:ENSG00000186448	3	3p21.31	zinc finger protein 197	protein-coding	ZNF197	zinc finger protein 197	zinc finger protein 197|VHL-associated KRAB-A domain-containing protein|pVHL-associated KRAB domain-containing protein|zinc finger protein 166|zinc finger protein 20|zinc finger protein with KRAB and SCAN domains 9	20210302
SERF2	4F5REL|FAM2C|H4F5REL|HsT17089	MIM:605054|HGNC:HGNC:10757|Ensembl:ENSG00000140264	15	15q15.3	small EDRK-rich factor 2	protein-coding	SERF2	small EDRK-rich factor 2	small EDRK-rich factor 2|gastric cancer-related protein VRG107|protein 4F5-related	20210302
DHRS9	3-alpha-HSD|3ALPHA-HSD|RDH-E2|RDH-TBE|RDH15|RDHL|RDHTBE|RETSDR8|SDR9C4	MIM:612131|HGNC:HGNC:16888|Ensembl:ENSG00000073737	2	2q31.1	dehydrogenase/reductase 9	protein-coding	DHRS9	dehydrogenase/reductase 9	dehydrogenase/reductase SDR family member 9|3-alpha hydroxysteroid dehydrogenase|NADP-dependent retinol dehydrogenase/reductase|dehydrogenase/reductase (SDR family) member 9|retinol dehydrogenase 15|retinol dehydrogenase homolog|short chain dehydrogenase/reductase family 9C member 4|short-chain dehydrogenase/reductase retSDR8|tracheobronchial epithelial cell-specific retinol dehydrogenase	20210302
RCL1	RNAC|RPCL1	MIM:611405|HGNC:HGNC:17687|Ensembl:ENSG00000120158	9	9p24.1	RNA terminal phosphate cyclase like 1	protein-coding	RCL1	RNA terminal phosphate cyclase like 1	RNA 3'-terminal phosphate cyclase-like protein|RNA cyclase homolog	20210302
ZNF256	BMZF-3|BMZF3	MIM:606956|HGNC:HGNC:13049|Ensembl:ENSG00000152454	19	19q13.43	zinc finger protein 256	protein-coding	ZNF256	zinc finger protein 256	zinc finger protein 256|bone marrow zinc finger 3	20210302
SORBS3	SCAM-1|SCAM1|SH3D4	MIM:610795|HGNC:HGNC:30907|Ensembl:ENSG00000120896	8	8p21.3	sorbin and SH3 domain containing 3	protein-coding	SORBS3	sorbin and SH3 domain containing 3	vinexin|sorbin and SH3 domain-containing protein 3|vinexin beta (SH3-containing adaptor molecule-1)	20210302
CNIH1	CNIH|CNIH-1|CNIL|TGAM77	MIM:611287|HGNC:HGNC:19431|Ensembl:ENSG00000100528	14	14q22.2	cornichon family AMPA receptor auxiliary protein 1	protein-coding	CNIH1	cornichon family AMPA receptor auxiliary protein 1	protein cornichon homolog 1|T-cell growth-associated molecule 77|cornichon homolog	20210302
TENM1	ODZ1|ODZ3|TEN-M1|TEN1|TNM|TNM1|ten-1	MIM:300588|HGNC:HGNC:8117|Ensembl:ENSG00000009694	X	Xq25	teneurin transmembrane protein 1	protein-coding	TENM1	teneurin transmembrane protein 1	"teneurin-1|odz (odd Oz/ten-m, Drosophila) homolog 3|odz, odd Oz/ten-m homolog 1(Drosophila)|protein Odd Oz/ten-m homolog 1|tenascin M1"	20210302
